date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:24	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be7715a-15283%22	https://colorlib.com/preview/theme/edusmart/js/jquery-3.2.1.min.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/js/jquery-3.2.1.min.js	(from https://colorlib.com/preview/theme/edusmart/)
00:18:25	19060/19060	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be7716e-4b27%22	https://colorlib.com/preview/theme/edusmart/js/popper.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/js/popper.js	(from https://colorlib.com/preview/theme/edusmart/)
00:18:25	51041/51041	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be77135-c761%22	https://colorlib.com/preview/theme/edusmart/js/bootstrap.min.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/js/bootstrap.min.js	(from https://colorlib.com/preview/theme/edusmart/)
00:18:25	14659/14659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be77171-3a89%22	https://colorlib.com/preview/theme/edusmart/js/stellar.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/js/stellar.js	(from https://colorlib.com/preview/theme/edusmart/)
00:18:25	1009/1009	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be7713c-4ca%22	https://colorlib.com/preview/theme/edusmart/js/countdown.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/js/countdown.js	(from https://colorlib.com/preview/theme/edusmart/)
00:18:26	2942/2942	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be77918-b7e%22	https://colorlib.com/preview/theme/edusmart/vendors/nice-select/js/jquery.nice-select.min.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/vendors/nice-select/js/jquery.nice-select.min.js	(from https://colorlib.com/preview/theme/edusmart/)
00:18:26	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be77877-a70e%22	https://colorlib.com/preview/theme/edusmart/vendors/owl-carousel/owl.carousel.min.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/vendors/owl-carousel/owl.carousel.min.js	(from https://colorlib.com/preview/theme/edusmart/)
00:18:26	3645/3645	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be7716a-e3d%22	https://colorlib.com/preview/theme/edusmart/js/owl-carousel-thumb.min.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/js/owl-carousel-thumb.min.js	(from https://colorlib.com/preview/theme/edusmart/)
00:18:26	4820/4820	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be77160-12d4%22	https://colorlib.com/preview/theme/edusmart/js/jquery.ajaxchimp.min.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/js/jquery.ajaxchimp.min.js	(from https://colorlib.com/preview/theme/edusmart/)
00:18:27	1415/1415	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be77859-a10%22	https://colorlib.com/preview/theme/edusmart/vendors/counter-up/jquery.counterup.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/vendors/counter-up/jquery.counterup.js	(from https://colorlib.com/preview/theme/edusmart/)
00:18:27	457/457	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be77167-4ce%22	https://colorlib.com/preview/theme/edusmart/js/mail-script.js	C:/Users/Shubhi/Desktop/Projects/Cybros-Web-Application/Cybros-Web-Application/colorlib.com/preview/theme/edusmart/js/mail-script.js	(from https://colorlib.com/preview/theme/edusmart/)
